Id,Duration MS, Duration, Web Visits,Web Episodes,Focus,Insurmountable,Surmountable,Predicted, Corrected, Difficulties, InsurmNoWebAccess, SurmNoWebAccess, WebAcessInsurm, WebAccessSurm, WebAccessProgress, WebAccessDiff, NumProgresses, ProgressIndeterminate, SurmountableIndeterminate, InsurmountableIndeterminate, Predictions
16,8270068,2:17:50,74,17,142,1,4,2,0,7,0,1,7.0,2.75,1.13,0.0,58,0,0,0,0,65
17,3195186,0:53:15,14,4,72,0,2,0,0,2,0,2,0.0,0.0,0.93,0.0,13,0,0,0,0,15
18,10214170,2:50:14,49,10,80,3,0,0,0,3,1,0,3.0,0.0,0.78,0.0,60,0,0,0,0,63
19,6571900,1:49:31,85,22,183,0,0,0,0,0,0,0,0.0,0.0,0.94,0.0,90,0,0,0,0,90
20,7774411,2:09:34,31,10,113,0,0,0,0,0,0,0,0.0,0.0,0.51,0.0,61,0,0,0,0,61
21,14896199,4:08:16,100,31,154,4,0,0,0,4,2,0,1.5,0.0,1.83,0.0,50,0,0,0,0,54
22,7703968,2:08:23,24,6,164,1,4,1,0,6,1,4,0.0,0.0,0.18,0.0,131,0,0,0,0,137
23,8532500,2:22:12,21,8,149,3,0,0,0,3,3,0,0.0,0.0,0.6,0.0,32,0,0,0,0,35
24,7916918,2:11:56,99,21,272,1,0,0,0,1,0,0,12.0,0.0,1.87,0.0,52,0,0,0,0,53
26,8868335,2:27:48,83,14,135,3,0,0,0,3,2,0,1.33,0.0,1.72,0.0,51,0,0,0,0,54
27,9780117,2:43:00,51,20,149,3,1,2,0,6,2,0,0.67,8.0,0.64,0.0,76,0,0,0,0,82
28,10311410,2:51:51,61,14,120,3,1,3,1,6,2,0,0.33,14.0,0.74,0.0,79,0,0,0,0,85
29,8297183,2:18:17,35,13,128,3,0,10,1,11,2,0,1.33,0.0,0.84,0.9,31,0,0,0,0,42
30,6407115,1:46:47,50,11,127,0,1,0,0,1,0,1,0.0,0.0,0.67,0.0,74,0,0,0,0,75
31,3177283,0:52:57,24,6,73,0,1,1,0,2,0,1,0.0,0.0,0.53,0.0,44,0,0,0,0,46
32,2220756,0:37:00,15,1,24,0,1,0,0,1,0,1,0.0,0.0,7.5,0.0,1,0,0,0,0,2
average,7758594.9375,2:09:18,51.0,13.0,130.3125,1.56,0.94,1.19,0.13,3.5,0.6,0.67,1.8,2.2,0.87,0.47,56.44,0.0,0.0,0.0,0.0,59.94